Loadcase,Fz (kN),FRes (kN),Mz (kNm),MRes (kNm),ULS gF,Assumed height above ground level (m)
Mx_Max,7136.859259,1396.437037,3838.162963,162817.5481,1.35,0.55
Mx_Min,7049.333333,1507.051852,-4416.444444,167601.2815,1.35,0.55
My_Max,7078.837037,1236.733333,955.762963,159948.6519,1.35,0.55
My_Min,6944.336364,870.9,749.2454545,119797.5182,1.1,0.55
Mxy_Max,7056.674074,1443.896296,4606.97037,166755.4,1.35,0.55
Mxy_Min,7213.881818,65.80909091,-605.3272727,7.490909091,1.1,0.55
Mz_Max,7387.851852,658.3925926,12183.88148,73915.44444,1.35,0.55
Mz_Min,6911.545455,814.2727273,-16345.3,85991.10909,1.1,0.55
Fx_Max,7189.251852,1235.362963,-3790.355556,154382.7407,1.35,0.55
Fx_Min,6925.8,876.3909091,1085.045455,118000.2727,1.1,0.55
Fy_Max,6637.748148,1285.096296,-9036.814815,154300.3333,1.35,0.55
Fy_Min,7068.214815,1391.155556,3908.459259,161013.0148,1.35,0.55
Fxy_Max,6938.125926,1508.511111,5060.333333,177590.3333,1.35,0.55
Fxy_Min,6979.644444,0.014814815,-10.03703704,6208.481481,1.35,0.55
Fz_Max,6216.218182,637.7636364,-5203.618182,69332.82727,1.1,0.55
Fz_Min,7710.607407,474.5555556,2559.288889,15666.13333,1.35,0.55
